,State,Year,Confortability Income Threshold,Poverty Income Threshold,Rent Per State,Mean Income per State,Unemployment Rate,Latitude,Longitude
77,Nevada,12/31/2021,61355,25413,944,59119,3.13,38.313515,-117.055374
78,New Hampshire,12/31/2021,60167,25416,1090,61297,2.04,43.452492,-71.563896
79,New Jersey,12/31/2021,56211,25409,1262,56487,2.91,40.298904,-74.521011
80,New Mexico,12/31/2021,46137,25411,772,44957,4.46,34.840515,-106.248482
81,New York,12/31/2021,47889,25405,1270,49341,3.33,42.165726,-74.948051
82,North Carolina,12/31/2021,47243,25414,828,46796,3.22,35.630066,-79.806419
83,North Dakota,12/31/2021,47889,25413,729,46491,2.18,47.528912,-99.784012
84,Ohio,12/31/2021,51185,25414,721,49766,3.48,40.388783,-82.764915
85,Oklahoma,12/31/2021,52750,25417,722,51211,2.77,35.565342,-96.928917
86,Oregon,12/31/2021,48140,25415,965,47567,3.34,44.572021,-122.070938
87,Pennsylvania,12/31/2021,45761,25411,935,47062,3.40,40.590752,-77.209755
88,Rhode Island,12/31/2021,38227,25407,1046,39830,2.86,41.680893,-71.51178
89,South Carolina,12/31/2021,39830,25409,833,39761,2.32,33.856892,-80.945007
90,South Dakota,12/31/2021,55858,25413,648,53806,2.61,44.299782,-99.438828
91,Tennessee,12/31/2021,44868,25410,775,43912,2.64,35.747845,-86.692345
92,Texas,12/31/2021,49626,25409,908,48488,2.96,31.054487,-97.563461
93,Utah,12/31/2021,65620,25411,886,63484,2.20,40.150032,-111.862434
94,Vermont,12/31/2021,38289,25408,1027,39899,1.78,44.045876,-72.710686
95,Virginia,12/31/2021,59757,25414,1107,58218,2.29,37.769337,-78.169968
96,Washington,12/31/2021,51102,25408,1104,50766,3.85,47.400902,-121.490494
97,West Virginia,12/31/2021,38224,25418,701,38781,4.32,38.491226,-80.954453
98,Wisconsin,12/31/2021,53143,25408,764,51554,2.43,44.268543,-89.616508
99,Wyoming,12/31/2021,51374,25416,789,50237,3.30,42.755966,-107.30249
100,Alabama,12/31/2022,52278,24940,1110,50938,2.25,32.806671,-86.79113
101,Alaska,12/31/2022,57612,24941,715,56774,5.91,61.370716,-152.404419
102,Arizona,12/31/2022,49122,24941,655,47805,3.82,33.729759,-111.431221
103,Arkansas,12/31/2022,44982,24953,918,44155,2.77,34.969704,-92.373123
104,California,12/31/2022,50032,24938,1419,50827,2.87,36.116203,-119.681564
105,Colorado,12/31/2022,64227,24937,1190,65600,2.23,39.059811,-105.311104
