,Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0,2020-12-31,2.9159074644338228,6.181988812290581,4.510437110677613,3.2850587332193637,3.6466898063976934,2.7435904244306752,3.3728997058935763,3.1282597856544663,2.897206668358143,3.2069835286455897,2.458298773700249,2.5425422759200007,3.7104990384325465,3.0158084754639147,2.2474402634009647,3.0709234950802617,3.833508207442174,4.291589170443704,2.8074247101599985,3.4283346049491423,2.632866433259188,3.6432963178627777,2.9520343605948667,4.7878095624527575,2.8540945108778324,3.231225802431668,2.8526634091066585,3.5751564601222836,2.2504308132874944,3.2267795053255375,4.689159543367231,3.631593182537741,3.5906886089616763,2.2848874717679584,3.843946428771851,3.0101323761596626,3.703655199262272,3.6971013552359553,3.2333211084588687,2.670871955744268,2.7691067049512768,2.9652386705128766,3.2380203124520794,2.4700719935762816,1.9905527062551245,2.529520094668664,4.179164792075301,4.590514726684379,2.719660933161025,3.498161509294128
1,2021-12-31,2.5609988979340037,6.046991404317397,4.15184549579139,3.0144164471231294,3.2356074316508168,2.47608171612753,3.0581861360260656,2.8365244308820063,2.528254963608098,2.841089324034288,2.2217767870500533,2.2524464198050365,3.3336085022297475,2.675029635494113,2.036688603853144,2.840533467661436,3.4906853150894364,4.038977545585456,2.5261645843644045,3.1595371407236024,2.35781825013026,3.2374653804274285,2.6896626130039283,4.451091341031862,2.5297687816841514,2.966142098380731,2.7216349584133845,3.125120712556016,2.0421124376587967,2.9084094904996944,4.4600846294425995,3.330421475619844,3.223261171631786,2.17529614943424,3.4848877705820414,2.770916489909669,3.337484631392321,3.4001389131561033,2.8563839864496403,2.323634203251209,2.60814691952589,2.640432544475968,2.961801001088209,2.2026193694765053,1.7768161777486993,2.285168539047344,3.8470084491898144,4.318201937685686,2.4251001938892816,3.2984188531285663
2,2022-12-31,2.249287892437518,5.91494196352966,3.8217628575545253,2.766071250050814,2.870865362166824,2.234655949498476,2.772837397518848,2.5719957414940864,2.2062882951430565,2.516941067842212,2.00801145258854,1.9954495632748976,2.995000276521554,2.372757954953025,1.8456999888344587,2.6274280013263005,3.1785203812335467,3.8012351522587418,2.2730823320755404,2.911814654614192,2.11150358044009,2.8768404145657183,2.450610016047828,4.138053919600591,2.2422978862095766,2.7228053641950645,2.596624902612502,2.731734842092073,1.8530777233487887,2.621451434927009,4.242200487703102,3.0542262438985617,2.89343179317168,2.0709612163447413,3.159368372735737,2.5507111430922893,3.0075163765241104,3.127029398960186,2.5233897915987726,2.021540530577143,2.4565432388969914,2.351205011339596,2.7091445771086238,1.964125782329448,1.5860297090293964,2.0644213354374568,3.5412516003679015,4.062042948308025,2.1624427069907908,3.1100813675321954
3,2023-12-31,1.9755166732587888,5.785776114539307,3.5179226573312734,2.5381861778453683,2.5472397692832054,2.0167699555727165,2.514113559833881,2.3321364773885467,1.9253232412677617,2.2297758417518283,1.8148132689244347,1.767775217453843,2.690785870735699,2.1046422208152222,1.6726211568811593,2.4303103556941865,2.894271726598823,3.577486757399901,2.0453549702874927,2.683514769788137,1.890920714505884,2.5563858754795348,2.232804003639235,3.847031869166767,1.9874938163924616,2.499431519257512,2.477356804969172,2.3878678405981897,1.6815416161454664,2.362806079449352,4.034960426326601,2.8009361629469334,2.5973531451372747,1.9716305573930968,2.864255371120818,2.34800556393068,2.7101712079756566,2.875856872825469,2.2292157043841345,1.7587217949572898,2.3137518210314227,2.0936588654437944,2.478041008487887,1.7514556270011088,1.415729026685869,1.864998304232772,3.2597960370347647,3.821079502998447,1.9282330984924048,2.9324978249795066
4,2024-12-31,1.7350674137556552,5.659430887737355,3.2382385522695034,2.329075606164131,2.2600956936972945,1.8201285323647327,2.279530345845899,2.11464601648477,1.6801383534174306,1.975374142837008,1.6402033946661307,1.5660777786411382,2.4174717641628805,1.8668228962805131,1.5157726344318605,2.247981075794621,2.635442854746893,3.3669086459349087,1.8404423348184853,2.4731146634830083,1.6933815228493263,2.2716271334563363,2.0343562158076542,3.5764768874285764,1.76164446949359,2.2943828455783692,2.36356692603242,2.087286341377224,1.5258843011286352,2.1296799531356863,3.8378444604905737,2.5686516853741117,2.3315715879238,1.8770641498093177,2.596708538893977,2.1614090420155265,2.4422237677153125,2.644859289051665,1.9693361181129048,1.5300718958005377,2.1792604357861682,1.8643237929958136,2.266651728975424,1.5618128130855709,1.263714459817708,1.6848395310999174,3.000710314388168,3.594410190644713,1.7193902386878133,2.765054182596244
5,2025-12-31,1.5238843442969876,5.5358446885955725,2.9807900692619036,2.1371927822228085,2.0053206636713474,1.6426602673121509,2.0668352777094383,1.9174382881923808,1.4661771208690484,1.7499978836990846,1.4823933800465945,1.3873933657052198,2.1719192872552555,1.6558765625861376,1.3736324390256098,2.07933069341973,2.3997605258710344,3.1687255883262124,1.6560587462801215,2.2792109093618147,1.516478697350789,2.018587992897229,1.853546126775908,3.3249495614605475,1.5614595684782444,2.106155980479949,2.2550036404238742,1.8245416253055693,1.3846359067627154,1.9195552027041576,3.6503580076812265,2.3556307951814905,2.092986885434167,1.7870334831683692,2.354152951566716,1.9896413870015843,2.200767580306741,2.432416134816247,1.7397530164876789,1.3311485722365226,2.052586627404936,1.660109611215744,2.0732950112082045,1.3927040031809594,1.1280225282169818,1.5220840893604866,2.7622164971604035,3.381187072520277,1.5331667085303813,2.6071714589409503
6,2026-12-31,1.3384053417076578,5.414957267638619,2.743809417864936,1.9611183837470438,1.7792657962941518,1.4824957171020905,1.873986048472211,1.7386217647612638,1.279463292643356,1.5503354663501692,1.33976684864335,1.2290962667722871,1.9513085779452104,1.4687666387556837,1.2448213107176709,1.9233329760434288,2.185154791406738,2.982207986615926,1.4901475146741674,2.100510116274923,1.3580564146284038,1.7937351711718224,1.6888061281450628,3.091111709715328,1.3840227277488877,1.9333708943387995,2.151426880414549,1.594870850482447,1.25646262490447,1.7301623987225645,3.472030646739435,2.1602759435245082,1.8788160420586573,1.7013210072171931,2.134254205414524,1.8315241455537272,1.983183525832338,2.237037061822623,1.5369344676815857,1.1580870978878028,1.9332759838232427,1.4782646295696762,1.8964325875699783,1.2419058316241385,1.0069005812820897,1.3750508177902865,2.542677958815487,3.1806125102621228,1.3671126561354603,2.458303732020874
7,2027-12-31,1.175501845278151,5.296709691071754,2.525669351625456,1.7995500205042627,1.578693538252545,1.3379477150331516,1.6991309117582205,1.576481318598916,1.1165269829415043,1.3734531227790268,1.2108629415677183,1.0888603552069642,1.75310619906801,1.30279966989354,1.1280893284058295,1.7790386822272313,1.9897408141067283,2.806669188458689,1.3408579982306943,1.9358203009868449,1.216184064131783,1.593928962036891,1.5387079378603101,2.8737192625989816,1.2267489659000808,1.774760772573272,2.05260760505922,1.3941107149542886,1.1401541156568993,1.5594560248834741,3.302414937529762,1.9811220679050217,1.6865608401386207,1.6197196061859214,1.9348959507062395,1.6859725162842345,1.7871114298151385,2.0573514310889256,1.357760288708433,1.0075251961100318,1.8209005065735424,1.3163385720274474,1.734657412358093,1.1074356726909214,0.8987841600900992,1.2422209552825372,2.3405881504554134,2.991936182015335,1.2190435679087266,2.3179362516198205
8,2028-12-31,1.0324260858741847,5.181044312050108,2.3248719944637823,1.6512926007605038,1.4007312976572914,1.2074935984716624,1.5405909012214998,1.4294617715386992,0.974340186861424,1.2167518072152457,1.0943613545496311,0.9646249079048704,1.5750360450150085,1.1555865547930977,1.022303781198475,1.6455697855145268,1.8118023139099324,2.6414629592559926,1.2065249605924755,1.7840429373215776,1.0891327207882024,1.4163793947131311,1.4019502171246,2.6716156437429324,1.0873470465218873,1.6291627276938396,1.9583272937145453,1.2186219874558717,1.0346120781334038,1.405592385628609,3.141085298271036,1.8168256049441769,1.5139786992516444,1.5420320983129765,1.7541595235288596,1.5519879072117893,1.6104244619697958,1.8920986975312168,1.1994740441825642,0.8765377169368171,1.7150570754428458,1.1721495607397854,1.586682467898607,0.9875255739354356,0.8022767902271689,1.1222224530020275,2.154560262363857,2.8144522755822163,1.0870115303156047,2.1855836594107707
9,2029-12-31,0.90676473803516,5.067904742575236,2.140038555388677,1.5152494914046934,1.2428303028391874,1.089759169186905,1.3968437090409442,1.2961529782709869,0.8502605080193477,1.0779290066820568,0.9890688146596698,0.8545643236075162,1.4150532035168988,1.0250081547285792,0.9264381771340742,1.5221141316658873,1.6497764942129332,2.48598110308579,1.0856499960872208,1.6441656286921176,0.9753540754855478,1.2586072764524523,1.2773472878997707,2.48372561675938,0.9637860984153236,1.4955092733194002,1.8683774628208536,1.0652235381173398,0.938839879205977,1.2669096935162067,2.9876369377115943,1.6661544143371898,1.3590565174033722,1.4680707593747395,1.590305480180399,1.428651084680883,1.4512060660811643,1.7401195668862814,1.0596406410120245,0.7625798066184533,1.6153660023751384,1.0437547162553429,1.451330525555729,0.880599011956053,0.7161319443732584,1.013815801984638,1.983317707241312,2.647496848075928,0.969279604227848,2.060788310698912
