,CALIFORNIA 0,New york 0,CALIFORNIA 1,New york 1,CALIFORNIA 2,New york 2,CALIFORNIA 3,New york 3,CALIFORNIA 4,New york 4,CALIFORNIA 5,New york 5,CALIFORNIA 6,New york 6,CALIFORNIA 7,New york 7,CALIFORNIA 8,New york 8,CALIFORNIA 9,New york 9,CALIFORNIA 10,New york 10,CALIFORNIA 11,New york 11,CALIFORNIA 12,New york 12,CALIFORNIA 13,New york 13,CALIFORNIA 14,New york 14,CALIFORNIA 15,New york 15,CALIFORNIA 16,New york 16,CALIFORNIA 17,New york 17,CALIFORNIA 18,New york 18,CALIFORNIA 19,New york 19,CALIFORNIA 20,New york 20,CALIFORNIA 21,New york 21,CALIFORNIA 22,New york 22,CALIFORNIA 23,New york 23,CALIFORNIA 24,New york 24,CALIFORNIA 25,New york 25,CALIFORNIA 26,New york 26,CALIFORNIA 27,New york 27,CALIFORNIA 28,New york 28,CALIFORNIA 29,New york 29,CALIFORNIA 30,New york 30,CALIFORNIA 31,New york 31,CALIFORNIA 32,New york 32,CALIFORNIA 33,New york 33,CALIFORNIA 34,New york 34,CALIFORNIA 35,New york 35,CALIFORNIA 36,New york 36,CALIFORNIA 37,New york 37,CALIFORNIA 38,New york 38,CALIFORNIA 39,New york 39,CALIFORNIA 40,New york 40,CALIFORNIA 41,New york 41,CALIFORNIA 42,New york 42,CALIFORNIA 43,New york 43,CALIFORNIA 44,New york 44,CALIFORNIA 45,New york 45,CALIFORNIA 46,New york 46,CALIFORNIA 47,New york 47,CALIFORNIA 48,New york 48,CALIFORNIA 49,New york 49
0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0,16880.7,9409.0
1,16892.237901721495,9404.330521991502,16730.228397226972,9360.67746069236,16902.90035367791,9509.739519390363,17065.23670230637,9327.704910808541,16702.819979745957,9483.514009949038,16648.126949621,9280.263979869083,16898.30585968281,9416.070904305738,16867.929143463265,9379.35290305553,16950.813409200964,9380.34689059876,16725.50210902304,9461.775614799873,17091.098052548237,9293.784586108457,16849.396226091576,9454.551034639953,16842.028565573106,9301.072044872411,16991.282087598658,9458.887549275212,17039.497227579373,9353.169577018203,16823.5418417526,9400.253348983697,16792.99620590978,9349.360933269189,17111.4784340826,9246.931348341037,16719.889262674904,9369.089988141264,16977.96934791476,9456.578377240556,17000.914515836324,9404.548466467324,16732.929958428664,9409.203943516915,16700.444005563844,9416.994927712623,16935.479717651153,9500.356130714501,16830.48581103353,9460.981459148252,17066.20676968129,9441.075097313658,17127.970090562987,9306.451142479853,16593.949422719066,9384.06177025898,17394.394068060657,9503.613436452411,16709.97679616963,9362.681139165348,17236.809039305146,9513.357178665397,16844.07679230565,9384.786169001074,16816.93876257665,9301.518195224824,16946.594210885854,9450.64145597966,16833.870783109593,9539.435992393062,17063.258620702643,9400.005956963365,16966.584681694083,9335.4406499555,17022.688386147318,9301.80661824422,16914.617582919374,9390.279737784422,17110.08472166199,9413.617544144588,16689.97557281489,9379.514809510942,17112.825758862415,9372.91921072344,16742.79567829527,9381.168259811728,16749.676144690722,9290.901051964465,16950.50658545566,9542.4519018635,16940.19256779457,9559.228241003319,16828.827945855675,9363.435626985487,16896.422141835093,9420.255754894799,16960.604924608237,9217.158020922863,16815.851613328112,9331.500656786471
2,16638.940905021056,9326.968496218478,16841.664131988375,9470.23538762874,16769.668285920325,9548.692473228666,17003.85569728516,9359.137970042733,16622.676637827135,9659.562382301,16605.78078396654,9203.454280280397,16566.75641979224,9587.147101894536,16954.3696225397,9336.806792799018,16714.871936423075,9364.86827437855,16649.36771520349,9508.792770977705,17193.35499247606,9080.083399452626,16933.504188028273,9433.908165254228,16882.165376345707,9322.81249679813,16968.691769660116,9527.390385341856,16909.191663033995,9263.75675664053,16563.318010638865,9384.408119538655,16667.465255352923,9347.016288791574,17135.205021661906,9259.76835085494,16808.487188605253,9370.622122136618,16896.590103387876,9420.766943212277,16923.5486920282,9463.942596901285,16689.149593260136,9453.001577812893,16610.56594021955,9658.065886548393,17008.547127203983,9619.10138489602,16947.18635084314,9322.185260800366,16896.922274300898,9559.40356906723,17271.281593405965,9190.098106869707,16695.174276580023,9489.568352206863,17392.650738089866,9333.44135830154,16776.948097654375,9219.68420151388,17041.607596564885,9601.392420111144,16828.05344857854,9472.5672902676,16930.2832878106,9115.160364224324,16811.661748183273,9452.20773812096,16933.478874673136,9675.390633398738,17183.812745097213,9411.522602743433,17058.327190526976,9323.486265546318,17006.446435159167,9484.328221098205,17052.394650125752,9411.805958585286,17129.077796303623,9553.054476231138,16888.443695052945,9468.960102324358,17237.1123659671,9140.855034293625,16680.130850900936,9413.618959488924,16647.82172393003,9291.746098913227,16892.797445315966,9553.766498001478,16834.99398700395,9319.723990807703,16964.21212224373,9422.879183718289,16776.75356098042,9518.920134639216,16796.304371038234,9254.726842791037,16793.25894291347,9323.905588751491
3,16867.083195912903,9400.739027245643,16900.94274399884,9418.776843436184,16714.344940394538,9420.053523709876,16968.58604482845,9219.811927012426,16823.089189751885,9567.104496698053,16518.922099893294,9453.865964858363,16524.75006074917,9424.19465653323,16619.135673016277,9368.843884030583,16902.25615318903,9369.861218092785,16729.828635246537,9481.574524786562,17178.673195027775,9071.810625781938,16776.567074661114,9326.459344364805,17173.12958487373,9409.150472541527,17163.11935643401,9747.03556524008,16869.876262503487,9219.052062792436,16690.364982627078,9524.573420089264,16747.04532920666,9296.159994152807,17247.43370434689,9313.914386195456,17107.853323515545,9327.72651890389,17102.60971121989,9586.050187750961,17083.162828451517,9237.486737589124,16772.39936404688,9570.501907321936,16691.85850043427,9510.530493977476,17035.272538043097,9640.404420220604,16738.210584816108,9059.829734238125,17001.09499205342,9416.346770951903,17482.781920582293,9111.644036796486,16682.032215135583,9778.52124488421,17285.028729461075,9244.65508548336,16896.740418040918,9387.209484812864,17174.414172241504,9630.763110577249,16860.96776103567,9341.476422397182,16992.774821530074,9090.379231909406,17123.560645373305,9328.928071255228,16973.559855837153,9675.688882142465,17278.858642028754,9636.608238236491,17056.959869706334,9387.148783362327,17070.615146557127,9434.988341408409,17154.84572565835,9353.905490598983,17164.45134618595,9404.32102310554,16893.72550306427,9426.3857791632,17357.881885692525,9045.26709880766,16916.01059699364,9293.106270235292,16675.950058492956,9312.557074586395,17128.65763793081,9554.655970514108,16781.96034757219,9199.4036708037,16996.882571703154,9369.554521839947,16664.430505303062,9419.026544565622,16774.057533687424,9335.138524746584,16771.06315198706,9377.98655784942
4,16810.329279558347,9588.680650652552,16998.882729273126,9652.947384479081,16730.956068284555,9522.23075547624,16947.737246364082,9208.7655304121,16725.527480470355,9529.87257845059,16687.25707425324,9486.474770117322,16474.05607903885,9480.08996392217,16864.1435814097,9356.237364047884,16899.48330510327,9503.001702047719,16598.410778395933,9452.276856748964,17234.946935338885,9398.321082258817,16985.797095273723,9336.315295855693,17272.434049314437,9384.610868156688,17209.071964146726,9704.725565322033,16831.973629947584,9291.407288228822,16821.771787676018,9492.314315852147,16859.974841800347,9392.070431077153,17259.06411156197,9275.131856602871,17119.083508745603,9308.555430372293,17368.611972570325,9542.109324518813,17247.551402032233,9250.078610949056,16850.552862357665,9663.769461560076,16773.821511979833,9730.8647685022,16718.068319504182,9775.136165837159,16901.507887555683,9074.540171954373,16989.73413645187,9351.935606096877,17379.31051102657,9130.30454009779,16870.56076748775,9802.911935478583,17579.159758173042,9156.902401592111,17054.048820774588,9383.54558258715,16933.362137645865,9513.719894977052,17071.34978630943,9334.284950534657,17131.370461570186,9033.180647019804,17258.02591124635,9242.620592073776,16789.706847188023,9760.701480248,17367.760436651584,9681.372699926591,17115.098345936996,9291.527570829834,16933.251623175198,9441.59832522301,17072.246610330076,9489.47685392704,17149.325551112855,9551.64076168331,17039.75984672238,9414.096358082266,17545.144021127526,9266.29688389353,16813.088998415868,9398.829344164127,16702.40386214708,9350.836410271702,17393.88574515939,9448.489413079293,16409.38712202724,9216.263430284016,17154.5793360971,9519.066820849292,16741.851470314265,9326.997124747382,17220.52913877469,9414.126253354765,16780.15731016969,9301.529535929933
5,16785.312363390116,9648.237899470123,16922.97039524066,9490.101118857921,16702.014856109563,9375.366486194294,16817.59959961785,9018.605504705214,16752.975681983415,9582.868033040819,16551.39859616941,9366.822145754237,16216.277959913548,9591.489038714357,16626.918992799634,9211.984453658677,16529.89577424893,9616.668565731374,16720.60557782891,9272.145329556573,17537.459225353123,9480.291409855823,16987.763784118015,9605.34938579123,17538.163602930763,9411.95782321034,17226.20851910299,9665.161842691416,16685.452168582506,9301.069958712455,16549.47721913087,9498.455990370183,16797.39703400377,9490.049160181181,17304.396595333557,9388.434769395924,17087.10976483626,9231.256347546921,17312.32148619313,9481.97354354657,17289.546533503195,9058.640047809524,16808.09356736482,9638.069681173676,16848.73211209421,9946.916282737047,16752.367138017544,9814.917259251577,17070.294977162623,9124.047179487616,16943.32121717139,9206.791709207104,17386.62593870345,9249.265087137277,17049.946013681823,9929.56297146148,17354.093605834827,9248.210430139507,17020.319941807942,9364.755947015257,17062.5477202474,9692.671010618496,16923.747032467,9516.136951084003,16994.145451991255,8922.278949610967,17464.852475976775,9307.627813410109,16664.062101977863,9761.239591351741,17556.496224950344,9698.365903721226,16899.78506325134,9566.198259290717,17109.902506508963,9369.694928652736,17187.919055204482,9450.946643720894,16968.548504062073,9394.366366372738,17235.742037151158,9480.60679240697,17680.9126743106,9391.229368370494,17076.53131169133,9491.000074282623,16650.42066125282,9474.169413468513,17661.65040373906,9486.263684115711,16446.6880043821,9159.216155115302,16937.705132724062,9509.758534799028,16775.665151566776,9479.036525351838,17555.612547872766,9389.698196151265,16753.738812917913,9389.160348294314
6,16799.07718532356,9701.752101835684,16997.201823097275,9704.782844405185,16725.510463499515,9348.709483364155,16919.521567428546,8901.87485933713,16881.42873249143,9703.349134523909,16376.08809786934,9109.161988680886,16228.633453287948,9551.86201939831,16667.028740972073,9224.986297092448,16540.060965545796,9795.853232276719,16773.002417181917,9333.600546012052,17757.481235300496,9350.035462603344,17216.684977925313,9669.828796221898,17527.27580496163,9432.368647572222,17141.45298894586,9511.587607154512,16687.015763897598,9182.63595040994,16626.066144718567,9427.49262458392,16725.668109990962,9551.273560370404,17215.23829605795,9361.871732915062,16883.644763700624,9335.61845887806,17275.995623990555,9375.87648633453,17225.3871234956,8983.15471813066,17066.448694016348,9599.639772045588,16804.648181224264,10027.20721948797,16914.90427633673,9940.729241385037,17089.031037042165,9078.939162105116,17188.706625647283,9290.729474197822,17771.66873911671,9229.228847550603,16901.90084883443,9821.139655043065,17288.72908707018,9417.74516289847,17136.411790061204,9397.267765673922,17287.554171934305,9705.528222111025,16871.7756001562,9412.915491273727,17036.555110035035,8823.791226021402,17369.955572779047,9180.359462275745,16683.977296538334,9910.399897051797,17847.466667246827,9645.621913342786,16891.821524151714,9536.80133950494,17232.33964181759,9407.225335323608,17227.94115128799,9502.537398944613,16959.625759150807,9385.214283693196,17493.18527664938,9468.512284319948,17455.180283735182,9278.35514327221,17157.57066250218,9476.90958162128,16546.731444716013,9639.871312021793,17860.871050822232,9254.17147885805,16505.47851744659,9102.06780705305,16847.67704461078,9619.57503620919,17051.78865239982,9347.746402195138,17591.450835937714,9598.652957925333,16747.763241109977,9402.669787656363
7,16856.430604043275,9719.060042242718,17128.4223839567,9835.808441671314,16779.686605928193,9497.821987024015,17096.432620870044,9008.121361045776,16730.96507241252,9586.65170388862,16234.54717066046,8953.796964462887,16158.978093511696,9541.611402966966,16508.534301886517,9055.850653752475,16640.58969428609,9820.123389372411,16411.923788903867,9388.179670388052,17586.965558950873,9305.992532055812,17215.20029815453,9657.80799241372,17464.144901616273,9637.160463574734,17315.660128855627,9465.671497812531,16593.81639238036,9314.531881530125,16630.767017698607,9433.066293304939,16860.25043196968,9691.644826222328,17349.502444311278,9326.871236219331,17017.869243479236,9444.138972768118,17435.06971425254,9147.877334651346,17251.015720426545,8823.663471438456,17063.103048486682,9525.395620037227,16943.379898651572,10053.78809050342,16850.320848644304,9825.374440255166,16933.324815196822,8998.706483622602,17251.935781828775,9024.248333855916,17940.730650980197,9226.571901666039,16823.639156416615,9800.588046820561,17472.557044451452,9313.544316587111,17141.322413689348,9456.358656255388,17273.856983488484,9772.077106027493,17100.46889141294,9488.610594139138,17071.89084534433,8796.655508406264,17625.953763950307,8967.896495969018,17011.09414549126,9914.539331616186,17765.822500068338,9577.068713218827,17165.054835356368,9548.526043792117,17099.569266737773,9502.365127699422,17163.76084064893,9408.06769502607,16929.773418702705,9261.47016903506,17386.052238620698,9237.873761041303,17504.923131322797,9233.933303171092,16830.430989094388,9368.842670628157,16354.775625492519,9700.181988335096,17744.171282844585,9137.983236018354,16597.880219713075,9244.296969210553,16911.56340425655,9811.43258267652,17140.339162839562,9366.980226263462,17841.714862652025,9622.91249286914,16851.335718230155,9315.351717054953
8,16850.111736547562,9780.955652865909,17086.688873956293,9854.707328305027,16832.268038833474,9518.349680856101,16881.69061966063,9151.419658604764,17013.836645124265,9706.39080767423,16250.881028956257,8923.13629814843,16214.930851318719,9505.465309798368,16403.737197679908,9031.411797872597,16517.2615297969,9925.89403786189,16293.274242308718,9189.016686485455,17617.05764772301,9271.086640646536,17059.815291610877,9619.132454325136,17523.673618362103,9569.004989200635,17148.533261125,9217.8089959424,16690.788362856354,9417.454214600111,16634.939931684035,9330.494657714535,16754.65165935459,9480.84023217603,17309.175217550765,9185.165876755289,16840.91841736187,9357.476218899277,17326.892781760333,9099.753307486055,17351.613421743183,8989.783220799314,17221.419636097944,9333.747461042367,16836.6089660201,10077.410896799387,16887.586999422096,9706.809906878834,16921.693973209123,8966.380495148103,17102.88774193329,9045.020642577741,17816.246132368473,9088.682036761615,16774.689308928384,9801.288651246625,17410.182633568635,9375.933871652484,17278.765061629158,9543.064523837596,17122.1935343166,9924.918095523235,17104.86038349734,9530.829059256565,16813.929549324934,8902.982001637049,17761.71729615094,8953.729556152477,16727.637646169118,10033.946625070539,17712.228228436896,9640.845006493537,17305.38652472669,9374.980824940852,17050.582764716284,9375.243799497197,17072.70277859555,9408.848074251737,17123.290442961243,9226.861382045125,17154.515962300953,9252.830467633896,17489.218345365527,9147.92605383178,16929.11794972985,9293.144393733512,16416.071059310463,9512.946432183584,17626.109506962654,9049.128491084675,16568.400201974346,9022.52723609258,17198.08101018045,9735.259386969967,17187.230051010018,9486.800677027393,17780.693442993448,9698.168229815652,16991.49857898913,9198.997167900976
9,16732.939044719544,9657.371458607746,17068.46773367346,9669.046581863453,17126.605015615496,9742.498576503996,16617.92181016121,9218.40306181107,16842.542077218848,9559.351201326892,16290.996896468285,8849.694695709622,16308.080636948094,9561.61213378704,16351.776498126126,8978.596933544311,16638.662368383386,9744.919992767356,16459.505461999455,8988.486648494756,17551.223563513897,9387.91540891071,17260.871864469562,9644.53141184443,17733.205681648575,9701.570947341177,16877.542628969826,9138.892427097311,16430.145813555642,9502.724338563588,16734.8714874205,9314.963465040102,16717.615052580884,9444.463273306941,17357.134449413148,9118.17912455896,16731.828511919965,9489.775662576383,17453.903453382838,9156.527259134205,17254.70444051015,9075.964670427611,17321.165578076114,9231.805046478426,16876.5733356824,10008.124994145639,16803.589020470157,9768.268219518695,16904.095306989704,9016.855523251475,17407.446471051335,9083.92514635042,18033.55093149407,9069.600690891473,16860.5299263731,9821.732305350492,17391.46934334343,9499.257215303503,17458.08572655037,9548.92150100142,17262.620952091434,9902.580179089377,17441.803752217256,9570.25546069518,16649.211650442066,9024.411457178714,17676.38160529603,8978.527041287516,16616.450750885633,10126.374313459079,17585.81868331895,9739.183177499783,17314.24380402223,9416.56650508432,17162.220124241983,9312.374324058288,16832.239222366912,9361.886929606884,16828.099716862416,9170.887698962646,17059.07434064892,9294.08702534865,17537.066537506347,9195.381630655907,16933.126288916344,9325.442117836525,16619.364124758176,9666.883531363581,17583.13040675964,9097.891114404689,16646.316168505775,8892.598602557513,17300.95661672427,9721.178664559207,17516.78746464144,9581.104308426913,17621.03199605184,9775.087343407335,17139.12501932198,9149.3025662019
